MMSI,NAVSTATUS,ROT,SOG,LAT,LON,COG,TRUE_HEADING,DATETIME,IMO,VESSELNAME,VESSELTYPEINT,SHIPLENGTH,SHIPWIDTH,BOW,STERN,PORT,STARBOARD,DRAUGHT,DESTINATION,CALLSIGN,POSACCURACY,ETA,POSFIXTYPE
636091978,5,0,16.6,-32.89182333,-71.64779167,337,335,1330606645,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.6,-32.89217,-71.6476,337,335,1330606641,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.6,-32.89260167,-71.64739833,337,335,1330606635,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.6,-32.89344833,-71.64697333,337,335,1330606621,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.6,-32.89684,-71.64524833,337,335,1330606573,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.6,-32.90371,-71.64178,337,335,1330606478,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.6,-32.91348167,-71.636835,337,335,1330606340,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.6,-32.91432167,-71.63638833,337,334,1330606326,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.5,-32.91559333,-71.63573667,337,335,1330606311,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.5,-32.91807667,-71.634515,337,335,1330606277,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.5,-32.91891667,-71.63405833,337,335,1330606264,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.5,-32.91975667,-71.63361833,337,335,1330606253,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.5,-32.921955,-71.63252667,338,335,1330606218,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.5,-32.92237333,-71.63229667,338,335,1330606215,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.5,-32.92280333,-71.63209333,338,335,1330606207,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.6,-32.93262833,-71.62739667,338,337,1330606069,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.5,-32.93689,-71.62532,337,336,1330606009,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.5,-32.93773667,-71.62488833,337,336,1330605999,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,1.6,-33.03417333,-71.624735,176,355,1330603826,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.5,-32.93986667,-71.62385,337,336,1330605969,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.3,-32.94534333,-71.62110167,336,336,1330605894,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.1,-32.94777167,-71.619855,336,335,1330605855,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,742.8590382,4.7,-33.03275,-71.619015,90,62,1330604281,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636013199,5,2723.459351,0.2,-33.0287,-71.62753333,266,168,1330607350,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,0,5.401474888,0.2,-33.02875,-71.62751667,0,168,1330607308,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,5,0,0,-33.02865,-71.6275,0,168,1330610374,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,5,0,0.6,-33.0287,-71.62748333,166,168,1330610192,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,0,0,0.3,-33.0288,-71.6274,302,170,1330607158,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
