MMSI,NAVSTATUS,ROT,SOG,LAT,LON,COG,TRUE_HEADING,DATETIME,IMO,VESSELNAME,VESSELTYPEINT,SHIPLENGTH,SHIPWIDTH,BOW,STERN,PORT,STARBOARD,DRAUGHT,DESTINATION,CALLSIGN,POSACCURACY,ETA,POSFIXTYPE
367085430,0,731.3864841,5.2,32.72570167,-117.336105,149,511,1330609412,0,MELISSA B,31,14,4,0,14,0,4,20,SAN DIEGO,WDC8339,0,-1,-1
367085430,0,731.3864841,4.7,32.72451667,-117.3351233,148,511,1330609473,0,MELISSA B,31,14,4,0,14,0,4,20,SAN DIEGO,WDC8339,0,-1,-1
367085430,0,731.3864841,5.1,32.72331333,-117.3341483,150,511,1330609533,0,MELISSA B,31,14,4,0,14,0,4,20,SAN DIEGO,WDC8339,0,-1,-1
367085430,0,731.3864841,4.7,32.72091167,-117.3321883,152.9,511,1330609653,0,MELISSA B,31,14,4,0,14,0,4,20,SAN DIEGO,WDC8339,0,-1,-1
367085430,0,731.3864841,5.6,32.71972,-117.3312367,163.6,511,1330609713,0,MELISSA B,31,14,4,0,14,0,4,20,SAN DIEGO,WDC8339,0,-1,-1
367085430,0,731.3864841,4.7,32.714925,-117.3275167,147.2,511,1330609952,0,MELISSA B,31,14,4,0,14,0,4,20,SAN DIEGO,WDC8339,0,-1,-1
367085430,0,731.3864841,5.2,32.71106333,-117.324585,135.2,511,1330610142,0,MELISSA B,31,14,4,0,14,0,4,20,SAN DIEGO,WDC8339,0,-1,-1
367085430,0,731.3864841,4.8,32.70859167,-117.3227617,133.7,511,1330610262,0,MELISSA B,31,14,4,0,14,0,4,20,SAN DIEGO,WDC8339,0,-1,-1
367085430,0,731.3864841,5.3,32.707375,-117.32182,151.2,511,1330610323,0,MELISSA B,31,14,4,0,14,0,4,20,SAN DIEGO,WDC8339,0,-1,-1
366938450,0,731.3864841,5.4,32.63381667,-117.33935,108,511,1330603254,7427477,HOWARD OLSEN        ,31,34,10,12,22,4,6,40,SD#1/ K&D=L         ,WDB7214,1,-1,-1
366938450,0,731.3864841,5.4,32.63326667,-117.3373833,108,511,1330603324,7427477,HOWARD OLSEN        ,31,34,10,12,22,4,6,40,SD#1/ K&D=L         ,WDB7214,1,-1,-1
366938450,0,731.3864841,5.2,32.6328,-117.3357167,108,511,1330603384,7427477,HOWARD OLSEN        ,31,34,10,12,22,4,6,40,SD#1/ K&D=L         ,WDB7214,1,-1,-1
366938450,0,731.3864841,5.3,32.63226667,-117.3338,108,511,1330603453,7427477,HOWARD OLSEN        ,31,34,10,12,22,4,6,40,SD#1/ K&D=L         ,WDB7214,1,-1,-1
366938450,0,731.3864841,5.4,32.63176667,-117.33205,108,511,1330603515,7427477,HOWARD OLSEN        ,31,34,10,12,22,4,6,40,SD#1/ K&D=L         ,WDB7214,1,-1,-1
366938450,0,731.3864841,5.5,32.63126667,-117.3303667,109,511,1330603574,7427477,HOWARD OLSEN        ,31,34,10,12,22,4,6,40,SD#1/ K&D=L         ,WDB7214,1,-1,-1
366938450,0,731.3864841,5.1,32.63076667,-117.3287333,109,511,1330603634,7427477,HOWARD OLSEN        ,31,34,10,12,22,4,6,40,SD#1/ K&D=L         ,WDB7214,1,-1,-1
366938450,0,731.3864841,5.3,32.63028333,-117.3270667,109,511,1330603695,7427477,HOWARD OLSEN        ,31,34,10,12,22,4,6,40,SD#1/ K&D=L         ,WDB7214,1,-1,-1
366938450,0,731.3864841,5.4,32.62978333,-117.3254,109,511,1330603754,7427477,HOWARD OLSEN        ,31,34,10,12,22,4,6,40,SD#1/ K&D=L         ,WDB7214,1,-1,-1
366938450,0,731.3864841,5.4,32.62928333,-117.32375,109,511,1330603815,7427477,HOWARD OLSEN        ,31,34,10,12,22,4,6,40,SD#1/ K&D=L         ,WDB7214,1,-1,-1
366938450,0,731.3864841,5.4,32.6287,-117.32185,110,511,1330603883,7427477,HOWARD OLSEN        ,31,34,10,12,22,4,6,40,SD#1/ K&D=L         ,WDB7214,1,-1,-1
366938450,0,731.3864841,5.5,32.62821667,-117.3201833,110,511,1330603943,7427477,HOWARD OLSEN        ,31,34,10,12,22,4,6,40,SD#1/ K&D=L         ,WDB7214,1,-1,-1
