Country (Area)	Seaport	Lat	Lon
IN	Bombay	19.076	72.8777
IN	Calcutta	22.5726	88.3639
IN	Cochin	9.9312	76.2673
IN	Madras	13.0604	80.2496
IN	Mangalore	12.9141	74.856
ID	Balikpapan	-1.2635	116.8279
ID	Belawan	3.7843	98.6942
ID	Jakarta	-6.2115	106.8452
ID	Palembang	-2.9911	104.7567
ID	Pontianak	-0.0225	109.3303
ID	Semarang	-6.9667	110.4167
ID	Surabaya	-7.2892	112.7344
ID	Ujung Pandang	-5.1333	119.4167
JA	Hakata	33.5914	130.4149
JA	Hiroshima	34.3852	132.4553
JA	Kobe	34.6901	135.1955
JA	Moji	33.9609	130.9623
JA	Nagoya	35.1814	136.9064
JA	Osaka	34.6937	135.5022
JA	Shimizu	35.0159	138.4895
JA	Tokyo	35.6895	139.6917
JA	Yokohama	35.4437	139.638
KZ	Aktau	43.6356	51.1712
KZ	Gur'yev	47.1016	51.9133
KN	Chongjin	41.7838	129.7836
KN	Nampo	38.7333	125.4
KN	Wonsan	39.1475	127.4461
KS	Inchon	37.4563	126.7052
KS	Pohang	36.019	129.3435
KS	Pusan (Busan)	35.1796	129.0756
MY	Klang (Kelang)	3.0431	101.4407
MY	Kota Kinabalu	5.9765	116.1158
MY	Kuching	1.531	110.3442
MY	Penang	5.2632	100.4846
MY	Sandakan	5.8456	118.0571
MY	Sibu	2.31	111.84
MV	Male	4.1742	73.5109
BM	Yangon (Rangoon)	16.8	96.15
PK	Qasim	34.1303	72.1349
PK	Karachi	24.8934	67.0281
RP	Cebu	10.3157	123.8854
RP	Davao	7.1907	125.4553
RP	Iloilo	10.7202	122.5621
RP	Legaspi	13.1391	123.7438
RP	Manila	14.5995	120.9842
RP	Zamboanga	7.0243	122.1889
SN	Singapore	1.2801	103.8509
CE	Colombo	6.9271	79.8612
TW	Kaohsiung	23.0109	120.666
TW	Keelung	25.109	121.7081
TW	Taichung	24.2332	120.9417
TH	Bangkok	13.7522	100.4939
TH	Songkhla	6.89	100.5296
TX	Krasnovodsk	40.0251	52.9576
VM	Da Nang	16.0516	108.2149
VM	Haiphong	20.8614	106.6798
VM	Ho Chi Minh	10.8231	106.6297
BA	Manama	26.2167	50.5833
IZ	Basra	30.5199	47.8237
IZ	Um Qasr	30.0342	47.9294
IR	Bandar Abbas	27.1833	56.2667
IR	Bandar Khomeini	30.4356	49.1056
IS	Ashdod	31.8044	34.6553
IS	Eilat	29.5577	34.9519
IS	Haifa	32.8304	34.9743
JO	Aqaba	29.5319	35.0061
KU	Shuaiba	29.0333	48.0921
KU	Shuwaikh	29.3544	47.9097
LE	Beirut	33.8886	35.4955
LE	Tripoli	34.4381	35.8308
MU	Mina Qaboos	23.6224	58.5505
QA	Doha	25.2803	51.5225
SA	Dammam	26.3927	49.9777
SA	Jeddah	21.5435	39.173
SA	Jubail	27.0126	49.6581
SA	Yanbu	24.0867	38.0586
