MMSI,NAVSTATUS,ROT,SOG,POSACCURACY,LON,LAT,COG,HEADING,REPORTTIME,IMO,CALLSIGN,NAME,SHIPTYPE,LENGTH,BREADTH,BOW,STERN,PORT,STARBOARD,FIXINGDEVICE,ETA,DEPTH,DESTINATION,MMSI,NAVSTATUS,ROT,SOG,POSACCURACY,LON,LAT,COG,HEADING,REPORTTIME,IMO,CALLSIGN,NAME,SHIPTYPE,LENGTH,BREADTH,BOW,STERN,PORT,STARBOARD,FIXINGDEVICE,ETA,DEPTH,DESTINATION
372584000,0,-128,12.9,0,-4.688568,36.097726,265,265,07-MAY-07 11.41.47 AM,9358644,3EJP6,Stolt Swazi,8,144,25,0,0,0,0,0,05/11 - 13.15,9.5,Rotterdam,372584000,0,-128,129,0,-4.688568,36.097726,2650,265,07-MAY-07 11.41.47 AM,9358644,3EJP6,Stolt Swazi,8,144,25,0,0,0,0,0,05/11 - 13.15,9.5,Rotterdam
371248000,0,-128,0.1,0,-5.439403,36.148617,174,93,07-MAY-07 11.42.38 AM,7218668,3EBW9,Euroferrysatlantica,6,0,0,0,0,0,0,0,00/00 - 24.60,5.5,Algeciras Tanger Alg,371248000,0,-128,1,0,-5.439403,36.148617,1740,93,07-MAY-07 11.42.38 AM,7218668,3EBW9,Euroferrysatlantica,6,0,0,0,0,0,0,0,00/00 - 24.60,5.5,Algeciras Tanger Alg
351238000,1,-128,0,0,-5.947842,35.777504,236,19,07-MAY-07 11.41.11 AM,9263021,HO2419,Astraea 102,7,65,10,0,0,0,0,0,04/08 - 23.45,4.8,Morocco,351238000,1,-128,0,0,-5.947842,35.777504,2360,19,07-MAY-07 11.41.11 AM,9263021,HO2419,Astraea 102,7,65,10,0,0,0,0,0,04/08 - 23.45,4.8,Morocco
248915000,0,-128,11.8,0,-5.384332,36.023289,253,253,07-MAY-07 11.42.09 AM,9185279,9HVU6,Seafaith Ii,8,244,42,0,0,0,0,0,05/10 - 15.30,13.3,Milford Haven.uk,248915000,0,-128,118,0,-5.384332,36.023289,2530,253,07-MAY-07 11.42.09 AM,9185279,9HVU6,Seafaith Ii,8,244,42,0,0,0,0,0,05/10 - 15.30,13.3,Milford Haven.uk
271000732,0,-128,0,0,-5.31966,35.898258,172,120,07-MAY-07 11.42.42 AM,9303895,TCCR5,M\v Denizkonak,7,80,12,0,0,0,0,0,05/10 - 23.30,6.2,Sousse,271000732,0,-128,0,0,-5.31966,35.898258,1720,120,07-MAY-07 11.42.42 AM,9303895,TCCR5,M\v Denizkonak,7,80,12,0,0,0,0,0,05/10 - 23.30,6.2,Sousse
258679000,1,-128,0.1,0,-5.370964,36.135858,158,285,07-MAY-07 11.42.04 AM,9278480,LAVW5,Taunus,8,180,32,0,0,0,0,0,05/07 - 07.30,10.3,Gibraltar,258679000,1,-128,1,0,-5.370964,36.135858,1580,285,07-MAY-07 11.42.04 AM,9278480,LAVW5,Taunus,8,180,32,0,0,0,0,0,05/07 - 07.30,10.3,Gibraltar
215631000,0,-128,0,0,-5.37072,36.15604,95,327,07-MAY-07 11.42.13 AM,9036868,9HWD7,M/t Vemaoil Xi,8,105,16,0,0,0,0,0,05/05 - 22.00,6.8,Gibraltar,215631000,0,-128,0,0,-5.37072,36.15604,950,327,07-MAY-07 11.42.13 AM,9036868,9HWD7,M/t Vemaoil Xi,8,105,16,0,0,0,0,0,05/05 - 22.00,6.8,Gibraltar
211446000,0,-128,2.2,0,-5.39317,36.133798,355,353,07-MAY-07 11.42.12 AM,9030498,DQFL,Lass Uranus,7,75,11,0,0,0,0,0,05/07 - 14.30,4.3,Algeciras,211446000,0,-128,22,0,-5.39317,36.133798,3550,353,07-MAY-07 11.42.12 AM,9030498,DQFL,Lass Uranus,7,75,11,0,0,0,0,0,05/07 - 14.30,4.3,Algeciras
354943000,0,-128,13.8,0,-5.414785,36.148907,307,308,07-MAY-07 11.42.29 AM,7360667,H9XN,Sara1,6,119,19,0,0,0,0,0,07/14 - 16.00,5,Tanger.algeciras,354943000,0,-128,138,0,-5.414785,36.148907,3070,308,07-MAY-07 11.42.29 AM,7360667,H9XN,Sara1,6,119,19,0,0,0,0,0,07/14 - 16.00,5,Tanger.algeciras
636090923,0,-128,22.7,0,-4.579985,36.157712,83,79,07-MAY-07 11.42.26 AM,9289972,A8HN7,M/v Maersk Daesan,7,294,32,0,0,0,0,0,05/09 - 09.00,12.6,Gioia Tauro,636090923,0,-128,227,0,-4.579985,36.157712,830,79,07-MAY-07 11.42.26 AM,9289972,A8HN7,M/v Maersk Daesan,7,294,32,0,0,0,0,0,05/09 - 09.00,12.6,Gioia Tauro
